Phase,Indicator,Group,State,Subgroup,Time Period,Time Period Label,Value
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,15,Sep 16 - Sep 28,44.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,15,Sep 16 - Sep 28,33.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,15,Sep 16 - Sep 28,35.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,15,Sep 16 - Sep 28,38.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,15,Sep 16 - Sep 28,33.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,15,Sep 16 - Sep 28,30.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,15,Sep 16 - Sep 28,38
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,15,Sep 16 - Sep 28,33.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,15,Sep 16 - Sep 28,38.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,15,Sep 16 - Sep 28,30.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,15,Sep 16 - Sep 28,42.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,15,Sep 16 - Sep 28,32.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,15,Sep 16 - Sep 28,38.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,15,Sep 16 - Sep 28,43.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,15,Sep 16 - Sep 28,36.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,15,Sep 16 - Sep 28,32.6
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,15,Sep 16 - Sep 28,27.7
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,15,Sep 16 - Sep 28,36.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,15,Sep 16 - Sep 28,34.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,15,Sep 16 - Sep 28,47.6
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,15,Sep 16 - Sep 28,34.6
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,15,Sep 16 - Sep 28,38.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,15,Sep 16 - Sep 28,35.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,15,Sep 16 - Sep 28,27.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,15,Sep 16 - Sep 28,35.6
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,15,Sep 16 - Sep 28,39.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,15,Sep 16 - Sep 28,38.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,15,Sep 16 - Sep 28,36.6
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,15,Sep 16 - Sep 28,36.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,15,Sep 16 - Sep 28,39.9
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,15,Sep 16 - Sep 28,39.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,15,Sep 16 - Sep 28,30.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,15,Sep 16 - Sep 28,33.2
Two,Symptoms of Depressive Disorder,National Estimate,United States,United States,16,Sep 30 - Oct 12,25.4
Two,Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,16,Sep 30 - Oct 12,39.3
Two,Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,16,Sep 30 - Oct 12,28.4
Two,Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,16,Sep 30 - Oct 12,26.4
Two,Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,16,Sep 30 - Oct 12,22.6
Two,Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,16,Sep 30 - Oct 12,19.6
Two,Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,16,Sep 30 - Oct 12,15
Two,Symptoms of Depressive Disorder,By Age,United States,80 years and above,16,Sep 30 - Oct 12,10.8
Two,Symptoms of Depressive Disorder,By Gender,United States,Male,16,Sep 30 - Oct 12,23.5
Two,Symptoms of Depressive Disorder,By Gender,United States,Female,16,Sep 30 - Oct 12,27.2
Two,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,16,Sep 30 - Oct 12,31.5
Two,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",16,Sep 30 - Oct 12,23.3
Two,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",16,Sep 30 - Oct 12,29.2
Two,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",16,Sep 30 - Oct 12,19
Two,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",16,Sep 30 - Oct 12,33.6
Two,Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,16,Sep 30 - Oct 12,32
Two,Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,16,Sep 30 - Oct 12,26.9
Two,Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,16,Sep 30 - Oct 12,29
Two,Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,16,Sep 30 - Oct 12,19.1
Two,Symptoms of Depressive Disorder,By State,Alabama,Alabama,16,Sep 30 - Oct 12,25
Two,Symptoms of Depressive Disorder,By State,Alaska,Alaska,16,Sep 30 - Oct 12,27.1
Two,Symptoms of Depressive Disorder,By State,Arizona,Arizona,16,Sep 30 - Oct 12,25
Two,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,16,Sep 30 - Oct 12,30.2
Two,Symptoms of Depressive Disorder,By State,California,California,16,Sep 30 - Oct 12,29.4
Two,Symptoms of Depressive Disorder,By State,Colorado,Colorado,16,Sep 30 - Oct 12,23.8
Two,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,16,Sep 30 - Oct 12,22.9
Two,Symptoms of Depressive Disorder,By State,Delaware,Delaware,16,Sep 30 - Oct 12,24.6
Two,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,16,Sep 30 - Oct 12,19.9
Two,Symptoms of Depressive Disorder,By State,Florida,Florida,16,Sep 30 - Oct 12,26
Two,Symptoms of Depressive Disorder,By State,Georgia,Georgia,16,Sep 30 - Oct 12,23.9
Two,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,16,Sep 30 - Oct 12,30.1
Two,Symptoms of Depressive Disorder,By State,Idaho,Idaho,16,Sep 30 - Oct 12,21
Two,Symptoms of Depressive Disorder,By State,Illinois,Illinois,16,Sep 30 - Oct 12,24.1
Two,Symptoms of Depressive Disorder,By State,Indiana,Indiana,16,Sep 30 - Oct 12,23.1
Two,Symptoms of Depressive Disorder,By State,Iowa,Iowa,16,Sep 30 - Oct 12,19.6
Two,Symptoms of Depressive Disorder,By State,Kansas,Kansas,16,Sep 30 - Oct 12,22.7
Two,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,16,Sep 30 - Oct 12,31.5
Two,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,16,Sep 30 - Oct 12,28.4
Two,Symptoms of Depressive Disorder,By State,Maine,Maine,16,Sep 30 - Oct 12,24.4
Two,Symptoms of Depressive Disorder,By State,Maryland,Maryland,16,Sep 30 - Oct 12,24.4
Two,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,16,Sep 30 - Oct 12,22.5
Two,Symptoms of Depressive Disorder,By State,Michigan,Michigan,16,Sep 30 - Oct 12,25.6
Two,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,16,Sep 30 - Oct 12,19.9
Two,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,16,Sep 30 - Oct 12,25.1
Two,Symptoms of Depressive Disorder,By State,Missouri,Missouri,16,Sep 30 - Oct 12,25.5
Two,Symptoms of Depressive Disorder,By State,Montana,Montana,16,Sep 30 - Oct 12,19.9
Two,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,16,Sep 30 - Oct 12,20.9
Two,Symptoms of Depressive Disorder,By State,Nevada,Nevada,16,Sep 30 - Oct 12,29.2
Two,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,16,Sep 30 - Oct 12,19.8
Two,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,16,Sep 30 - Oct 12,22.5
Two,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,16,Sep 30 - Oct 12,26.1
Two,Symptoms of Depressive Disorder,By State,New York,New York,16,Sep 30 - Oct 12,23.3
Two,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,16,Sep 30 - Oct 12,25.7
Two,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,16,Sep 30 - Oct 12,16.6
Two,Symptoms of Depressive Disorder,By State,Ohio,Ohio,16,Sep 30 - Oct 12,25.5
Two,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,16,Sep 30 - Oct 12,27.2
Two,Symptoms of Depressive Disorder,By State,Oregon,Oregon,16,Sep 30 - Oct 12,24.9
Two,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,16,Sep 30 - Oct 12,25.1
Two,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,16,Sep 30 - Oct 12,22.4
Two,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,16,Sep 30 - Oct 12,20.3
Two,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,16,Sep 30 - Oct 12,19
Two,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,16,Sep 30 - Oct 12,24.5
Two,Symptoms of Depressive Disorder,By State,Texas,Texas,16,Sep 30 - Oct 12,29
Two,Symptoms of Depressive Disorder,By State,Utah,Utah,16,Sep 30 - Oct 12,23.5
Two,Symptoms of Depressive Disorder,By State,Vermont,Vermont,16,Sep 30 - Oct 12,30.1
Two,Symptoms of Depressive Disorder,By State,Virginia,Virginia,16,Sep 30 - Oct 12,23.1
Two,Symptoms of Depressive Disorder,By State,Washington,Washington,16,Sep 30 - Oct 12,25.2
Two,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,16,Sep 30 - Oct 12,27.5
Two,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,16,Sep 30 - Oct 12,21.6
Two,Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,16,Sep 30 - Oct 12,22.2
Two,Symptoms of Anxiety Disorder,National Estimate,United States,United States,16,Sep 30 - Oct 12,32.4
Two,Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,16,Sep 30 - Oct 12,44.7
Two,Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,16,Sep 30 - Oct 12,38.1
Two,Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,16,Sep 30 - Oct 12,35.3
Two,Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,16,Sep 30 - Oct 12,31.1
Two,Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,16,Sep 30 - Oct 12,24.8
Two,Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,16,Sep 30 - Oct 12,18
Two,Symptoms of Anxiety Disorder,By Age,United States,80 years and above,16,Sep 30 - Oct 12,15
Two,Symptoms of Anxiety Disorder,By Gender,United States,Male,16,Sep 30 - Oct 12,28.1
Two,Symptoms of Anxiety Disorder,By Gender,United States,Female,16,Sep 30 - Oct 12,36.4
Two,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,16,Sep 30 - Oct 12,36.4
Two,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",16,Sep 30 - Oct 12,31.6
Two,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",16,Sep 30 - Oct 12,32.2
Two,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",16,Sep 30 - Oct 12,24.8
Two,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",16,Sep 30 - Oct 12,39.7
Two,Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,16,Sep 30 - Oct 12,37.8
Two,Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,16,Sep 30 - Oct 12,30.8
Two,Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,16,Sep 30 - Oct 12,35.2
Two,Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,16,Sep 30 - Oct 12,29.9
Two,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,16,Sep 30 - Oct 12,29.4
Two,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,16,Sep 30 - Oct 12,32.6
Two,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,16,Sep 30 - Oct 12,31.7
Two,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,16,Sep 30 - Oct 12,35.4
Two,Symptoms of Anxiety Disorder,By State,California,California,16,Sep 30 - Oct 12,36.2
Two,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,16,Sep 30 - Oct 12,32.8
Two,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,16,Sep 30 - Oct 12,28.4
Two,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,16,Sep 30 - Oct 12,32.8
Two,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,16,Sep 30 - Oct 12,34.8
Two,Symptoms of Anxiety Disorder,By State,Florida,Florida,16,Sep 30 - Oct 12,31.7
Two,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,16,Sep 30 - Oct 12,29
Two,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,16,Sep 30 - Oct 12,30.6
Two,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,16,Sep 30 - Oct 12,29.4
Two,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,16,Sep 30 - Oct 12,32.2
Two,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,16,Sep 30 - Oct 12,30.1
Two,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,16,Sep 30 - Oct 12,26.8
Two,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,16,Sep 30 - Oct 12,32.3
Two,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,16,Sep 30 - Oct 12,37.8
Two,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,16,Sep 30 - Oct 12,36.9
Two,Symptoms of Anxiety Disorder,By State,Maine,Maine,16,Sep 30 - Oct 12,33.2
Two,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,16,Sep 30 - Oct 12,30.6
Two,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,16,Sep 30 - Oct 12,34.2
Two,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,16,Sep 30 - Oct 12,32.9
Two,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,16,Sep 30 - Oct 12,26.2
Two,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,16,Sep 30 - Oct 12,30.6
Two,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,16,Sep 30 - Oct 12,30.7
Two,Symptoms of Anxiety Disorder,By State,Montana,Montana,16,Sep 30 - Oct 12,27.8
Two,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,16,Sep 30 - Oct 12,28.7
Two,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,16,Sep 30 - Oct 12,39.3
Two,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,16,Sep 30 - Oct 12,27.3
Two,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,16,Sep 30 - Oct 12,34.7
Two,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,16,Sep 30 - Oct 12,33.9
Two,Symptoms of Anxiety Disorder,By State,New York,New York,16,Sep 30 - Oct 12,30.7
Two,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,16,Sep 30 - Oct 12,29.7
Two,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,16,Sep 30 - Oct 12,24.7
Two,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,16,Sep 30 - Oct 12,33.6
Two,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,16,Sep 30 - Oct 12,33.9
Two,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,16,Sep 30 - Oct 12,35.1
Two,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,16,Sep 30 - Oct 12,32.6
Two,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,16,Sep 30 - Oct 12,29.5
Two,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,16,Sep 30 - Oct 12,28.3
Two,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,16,Sep 30 - Oct 12,26.9
Two,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,16,Sep 30 - Oct 12,30.7
Two,Symptoms of Anxiety Disorder,By State,Texas,Texas,16,Sep 30 - Oct 12,33.2
Two,Symptoms of Anxiety Disorder,By State,Utah,Utah,16,Sep 30 - Oct 12,31.1
Two,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,16,Sep 30 - Oct 12,36.9
Two,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,16,Sep 30 - Oct 12,28.7
Two,Symptoms of Anxiety Disorder,By State,Washington,Washington,16,Sep 30 - Oct 12,34.5
Two,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,16,Sep 30 - Oct 12,37.1
Two,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,16,Sep 30 - Oct 12,30.7
Two,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,16,Sep 30 - Oct 12,27
Two,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,16,Sep 30 - Oct 12,37.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,16,Sep 30 - Oct 12,52.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,16,Sep 30 - Oct 12,43.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,16,Sep 30 - Oct 12,39.9
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,16,Sep 30 - Oct 12,34.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,16,Sep 30 - Oct 12,29.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,16,Sep 30 - Oct 12,22.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,16,Sep 30 - Oct 12,17.9
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Gender,United States,Male,16,Sep 30 - Oct 12,33.1
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Gender,United States,Female,16,Sep 30 - Oct 12,41.6
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,16,Sep 30 - Oct 12,43.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",16,Sep 30 - Oct 12,35.9
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",16,Sep 30 - Oct 12,39.7
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",16,Sep 30 - Oct 12,29.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",16,Sep 30 - Oct 12,45.7
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,16,Sep 30 - Oct 12,43.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,16,Sep 30 - Oct 12,37.1
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,16,Sep 30 - Oct 12,40.9
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,16,Sep 30 - Oct 12,33.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,16,Sep 30 - Oct 12,33.6
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,16,Sep 30 - Oct 12,37.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,16,Sep 30 - Oct 12,37.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,16,Sep 30 - Oct 12,42.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,16,Sep 30 - Oct 12,42.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,16,Sep 30 - Oct 12,37.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,16,Sep 30 - Oct 12,34.6
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,16,Sep 30 - Oct 12,39
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,16,Sep 30 - Oct 12,37.1
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,16,Sep 30 - Oct 12,37.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,16,Sep 30 - Oct 12,34.7
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,16,Sep 30 - Oct 12,40.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,16,Sep 30 - Oct 12,33.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,16,Sep 30 - Oct 12,36.6
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,16,Sep 30 - Oct 12,34.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,16,Sep 30 - Oct 12,29.6
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,16,Sep 30 - Oct 12,36.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,16,Sep 30 - Oct 12,42.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,16,Sep 30 - Oct 12,41.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,16,Sep 30 - Oct 12,36.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,16,Sep 30 - Oct 12,36.9
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,16,Sep 30 - Oct 12,37.6
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,16,Sep 30 - Oct 12,37
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,16,Sep 30 - Oct 12,30.7
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,16,Sep 30 - Oct 12,35.1
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,16,Sep 30 - Oct 12,36.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,16,Sep 30 - Oct 12,32.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,16,Sep 30 - Oct 12,32.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,16,Sep 30 - Oct 12,43.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,16,Sep 30 - Oct 12,31.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,16,Sep 30 - Oct 12,39.1
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,16,Sep 30 - Oct 12,41.1
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,16,Sep 30 - Oct 12,35.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,16,Sep 30 - Oct 12,35.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,16,Sep 30 - Oct 12,27.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,16,Sep 30 - Oct 12,38.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,16,Sep 30 - Oct 12,38.1
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,16,Sep 30 - Oct 12,39
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,16,Sep 30 - Oct 12,37.7
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,16,Sep 30 - Oct 12,35.1
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,16,Sep 30 - Oct 12,32.9
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,16,Sep 30 - Oct 12,31.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,16,Sep 30 - Oct 12,36.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,16,Sep 30 - Oct 12,38.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,16,Sep 30 - Oct 12,36.1
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,16,Sep 30 - Oct 12,44
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,16,Sep 30 - Oct 12,32.9
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,16,Sep 30 - Oct 12,38.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,16,Sep 30 - Oct 12,42.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,16,Sep 30 - Oct 12,34.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,16,Sep 30 - Oct 12,33.1
Two,Symptoms of Depressive Disorder,National Estimate,United States,United States,17,Oct 14 - Oct 26,26
Two,Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,17,Oct 14 - Oct 26,39
Two,Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,17,Oct 14 - Oct 26,30.3
Two,Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,17,Oct 14 - Oct 26,26.3
